profile,source_url,original,raw_normalized,research_area_normalized,matched_candidate_terms,matched_sources,matched_cuis,has_umls_match,final_output,final_output_simplified,final_output_simplified_cleaned,research_tag_publishable
Julia Hews-Girard,https://profiles.ucalgary.ca/julia-hews-girard,school-based mental health,school-based mental health,Play-based Mental Health Intervention,school-based mental health | school based mental | based mental health | school based,MSH,C5691412,yes,Play-based Mental Health Intervention,school-based mental health,School Based Mental Health,School Based Mental Health
Julia Hews-Girard,https://profiles.ucalgary.ca/julia-hews-girard,health of all women,health of all women,mental health,health all,MTH,C0025353,yes,mental health,health of all women,Health Of All Women,Health Of All Women
Julia Hews-Girard,https://profiles.ucalgary.ca/julia-hews-girard,integrated care models – focusing on integrating mental,integrated care models focusing on integrating mental,Integrated Learning System | Integrated Neuromusculoskeletal Release | Amplitude integrated electroencephalography,care models focusing,MTH | SNOMEDCT_US,C1512807 | C1704538 | C5922046,yes,Integrated Learning System | Integrated Neuromusculoskeletal Release | Amplitude integrated electroencephalography,integrated care models – focusing on integrating mental,Integrated Care Models Focusing On Integrating Mental,
Julia Hews-Girard,https://profiles.ucalgary.ca/julia-hews-girard,physical health in a sustainable,physical health in a sustainable,Physical health problem | Caregiver physical health status | Neglect of physical health,physical health,SNOMEDCT_US,C1446390 | C0516976 | C0424362,yes,Physical health problem | Caregiver physical health status | Neglect of physical health,Physical health problem,Physical Health,Physical Health
Julia Hews-Girard,https://profiles.ucalgary.ca/julia-hews-girard,youth-friendly manner –,youth-friendly manner,Medical Team was Friendly and Kind | Office Staff was Friendly and Kind | Manner of death | Friendly environment | Undetermined manner of death,,MTH | SNOMEDCT_US,C4553857 | C4553856 | C3263280 | C0557743 | C0277678,yes,Medical Team was Friendly and Kind | Office Staff was Friendly and Kind | Manner of death | Friendly environment | Undetermined manner of death,youth-friendly manner –,Youth Friendly Manner,Youth Friendly Manner
Julia Hews-Girard,https://profiles.ucalgary.ca/julia-hews-girard,improving transitions between pediatric,improving transitions between pediatric,Improved | Pediatric Obesity | Angina control - improving,transitions pediatric,MTH | SNOMEDCT_US,C0184511 | C2362324 | C0421197,yes,Improved | Pediatric Obesity | Angina control - improving,improving transitions between pediatric,Improving Transitions Between Pediatric,Improving Transitions Between Pediatric
Julia Jacobs-Levan,https://profiles.ucalgary.ca/julia-jacobs-levan,epilepsy,epilepsy,"Epilepsy | Absence Epilepsy | Tonic-Clonic Epilepsy | Epilepsy, Complex Partial",epilepsy,MTH | MSH,C0014544 | C0014553 | C0014549 | C0085417,yes,"Epilepsy | Absence Epilepsy | Tonic-Clonic Epilepsy | Epilepsy, Complex Partial",Epilepsy,Epilepsy,Epilepsy
Julia Jacobs-Levan,https://profiles.ucalgary.ca/julia-jacobs-levan,neuroimaging,neuroimaging,Neuroimaging | Functional Neuroimaging,neuroimaging,MTH | MSH,C0679575 | C3178877,yes,Neuroimaging | Functional Neuroimaging,Neuroimaging,Neuroimaging,Neuroimaging
Julia Jacobs-Levan,https://profiles.ucalgary.ca/julia-jacobs-levan,improving outcome and,improving outcome and,Improved | Pregnancy Outcome | Disease Outcome | Angina control - improving,,MTH | SNOMEDCT_US,C0184511 | C0032972 | C0679250 | C0421197,yes,Improved | Pregnancy Outcome | Disease Outcome | Angina control - improving,improving outcome and,Improving Outcome,Improving Outcome
Julia Jacobs-Levan,https://profiles.ucalgary.ca/julia-jacobs-levan,functional magnetic resonance imaging,functional magnetic resonance imaging,Blood Oxygen Level Dependent Functional Magnetic Resonance Imaging | Magnetic Resonance Imaging | Multiparametric Magnetic Resonance Imaging | Diffusion Magnetic Resonance Imaging | MRI of brain with functional imaging,functional magnetic resonance imaging | functional magnetic resonance | magnetic resonance imaging | functional magnetic,MTH | SNOMEDCT_US,C1705491 | C0024485 | C3898221 | C1136216 | C0412677,yes,Blood Oxygen Level Dependent Functional Magnetic Resonance Imaging | Magnetic Resonance Imaging | Multiparametric Magnetic Resonance Imaging | Diffusion Magnetic Resonance Imaging | MRI of brain with functional imaging,Magnetic Resonance Imaging,Magnetic Resonance Imaging,Magnetic Resonance Imaging
Julia Jacobs-Levan,https://profiles.ucalgary.ca/julia-jacobs-levan,outcome prediction in children with rare,outcome prediction in children with rare,Pregnancy Outcome | Disease Outcome | Ovulation Prediction | Prediction Algorithms | Drug Target Prediction,,MTH | MSH,C0032972 | C0679250 | C0920722 | C5940550 | C5200697,yes,Pregnancy Outcome | Disease Outcome | Ovulation Prediction | Prediction Algorithms | Drug Target Prediction,outcome prediction in children with rare,Outcome Prediction In Children With Rare,
Julia Jacobs-Levan,https://profiles.ucalgary.ca/julia-jacobs-levan,difficult to treat epilepsy,difficult to treat epilepsy,Difficult (qualifier value) | Difficult tracheal intubation (finding) | Epilepsy | Absence Epilepsy | Tonic-Clonic Epilepsy,,MTH,C0332218 | C0549401 | C0014544 | C0014553 | C0014549,yes,Difficult (qualifier value) | Difficult tracheal intubation (finding) | Epilepsy | Absence Epilepsy | Tonic-Clonic Epilepsy,difficult to treat epilepsy,Difficult To Treat Epilepsy,Difficult To Treat Epilepsy
Julia Jacobs-Levan,https://profiles.ucalgary.ca/julia-jacobs-levan,improving outcome,improving outcome,Improved | Pregnancy Outcome | Disease Outcome | Angina control - improving,,MTH | SNOMEDCT_US,C0184511 | C0032972 | C0679250 | C0421197,yes,Improved | Pregnancy Outcome | Disease Outcome | Angina control - improving,improving outcome,Improving Outcome,Improving Outcome
Julia Kam,https://profiles.ucalgary.ca/julia-kam,stroke,stroke,Heat Stroke | Ischemic stroke | Hemorrhagic Stroke | Embolic Stroke,stroke,MTH | MSH,C0018843 | C0948008 | C5234922 | C0262469,yes,Heat Stroke | Ischemic stroke | Hemorrhagic Stroke | Embolic Stroke,Heat Stroke,Stroke,Stroke
Julia Kirkham,https://profiles.ucalgary.ca/julia-kirkham,dementia,dementia,"Dementia | Presenile dementia | Senile dementia | Multi-infarct dementia | Dementia, Vascular",dementia,MTH | MSH,C0497327 | C0011265 | C0011268 | C0011263 | C0011269,yes,"Dementia | Presenile dementia | Senile dementia | Multi-infarct dementia | Dementia, Vascular",Dementia,Dementia,Dementia
Julia Kirkham,https://profiles.ucalgary.ca/julia-kirkham,mental healthcare quality,mental healthcare quality,Mental Depression | Mental disorders | Mental Retardation | Mental Orientation | Mental handicap,mental healthcare | healthcare quality,MTH,C0011570 | C0004936 | C0025362 | C0029266 | C1306341,yes,Mental Depression | Mental disorders | Mental Retardation | Mental Orientation | Mental handicap,mental healthcare quality,Mental Healthcare Quality,Mental Healthcare Quality
Julia Kirkham,https://profiles.ucalgary.ca/julia-kirkham,depression,depression,"Mental Depression | Depressive disorder | Reactive depression | Depression, Postpartum",depression,MTH | MSH,C0011570 | C0011581 | C0011579 | C0221074,yes,"Mental Depression | Depressive disorder | Reactive depression | Depression, Postpartum",Mental Depression,Mental Depression,Mental Depression
Julia Kirkham,https://profiles.ucalgary.ca/julia-kirkham,quality improvement in geriatric mental health including examining,quality improvement in geriatric mental health including examining,,,,,no,quality improvement in geriatric mental health including examining,quality improvement in geriatric mental health including examining,Quality Improvement In Geriatric Mental Health Including Examining,
Julia Kirkham,https://profiles.ucalgary.ca/julia-kirkham,improving access to healthcare,improving access to healthcare,Access to review healthcare data | Able to access healthcare services,access healthcare,MTH | SNOMEDCT_US,C5575314 | C4759353,yes,Access to review healthcare data | Able to access healthcare services,Access to review healthcare data,Access To Healthcare,Access To Healthcare
Julia Kirkham,https://profiles.ucalgary.ca/julia-kirkham,mental healthcare,mental healthcare,Mental Depression | Mental disorders | Mental Retardation | Mental Orientation | Mental handicap,mental healthcare,MTH,C0011570 | C0004936 | C0025362 | C0029266 | C1306341,yes,Mental Depression | Mental disorders | Mental Retardation | Mental Orientation | Mental handicap,mental healthcare,Mental Healthcare,Mental Healthcare
Jun Yan,https://profiles.ucalgary.ca/jun-yan,sound-guided neural plasticity for auditory learning,sound-guided neural plasticity for auditory learning,,,,,no,sound-guided neural plasticity for auditory learning,sound-guided neural plasticity for auditory learning,Sound Guided Neural Plasticity For Auditory Learning,
Jun Yan,https://profiles.ucalgary.ca/jun-yan,pharmacological approaches,pharmacological approaches,Nutritional approaches | Pharmacological stimulation,,MTH | SNOMEDCT_US,C1718142 | C0441694,yes,Nutritional approaches | Pharmacological stimulation,pharmacological approaches,Pharmacological Approaches,Pharmacological Approaches
Justyna Sarna,https://profiles.ucalgary.ca/justyna-sarna,movement disorders,movement disorders,"Movement Disorders | Extrapyramidal and movement disorders | Stereotypic Movement Disorder | Movement Disorders, Rhythmic Nocturnal",movement disorders,MTH | MSH,C0026650 | C0477355 | C0038273 | C0752298,yes,"Movement Disorders | Extrapyramidal and movement disorders | Stereotypic Movement Disorder | Movement Disorders, Rhythmic Nocturnal",Movement Disorders,Movement Disorders,Movement Disorders
Justyna Sarna,https://profiles.ucalgary.ca/justyna-sarna,s disease,s disease,Hemoglobin SC Disease | Hemoglobin SE disease | Protein S Deficiency,s disease,MTH | MSH,C0019034 | C1112747 | C0242666,yes,Hemoglobin SC Disease | Hemoglobin SE disease | Protein S Deficiency,s disease,S Disease,S Disease
Justyna Sarna,https://profiles.ucalgary.ca/justyna-sarna,all aspects of parkinson’s disease,all aspects of parkinson s disease,"Parkinson Disease | Parkinson Disease, Mitochondrial | Alzheimer's Disease | Parkinson Disease, Postencephalitic",,MTH | MSH,C0030567 | C1838867 | C0002395 | C0030568,yes,"Parkinson Disease | Parkinson Disease, Mitochondrial | Alzheimer's Disease | Parkinson Disease, Postencephalitic",Parkinson Disease,Parkinson Disease,Parkinson Disease
Justyna Sarna,https://profiles.ucalgary.ca/justyna-sarna,parkinson disease,parkinson disease,"Parkinson Disease | Parkinson Disease, Mitochondrial | Parkinson Disease 16 | Parkinson Disease, Postencephalitic",parkinson disease,MTH | MSH,C0030567 | C1838867 | C2751012 | C0030568,yes,"Parkinson Disease | Parkinson Disease, Mitochondrial | Parkinson Disease 16 | Parkinson Disease, Postencephalitic",Parkinson Disease,Parkinson Disease,Parkinson Disease
Kamala Devi Patel,https://profiles.ucalgary.ca/kamala-devi-patel,stroke,stroke,Heat Stroke | Ischemic stroke | Hemorrhagic Stroke | Embolic Stroke,stroke,MTH | MSH,C0018843 | C0948008 | C5234922 | C0262469,yes,Heat Stroke | Ischemic stroke | Hemorrhagic Stroke | Embolic Stroke,Heat Stroke,Stroke,Stroke
Kamala Devi Patel,https://profiles.ucalgary.ca/kamala-devi-patel,"leukocyte trafficking, inflammation",leukocyte trafficking inflammation,Leukocyte Elastase | Vesicle-Trafficking Protein SEC22b | Inflammation | Ear Inflammation | Bubo Inflammation,,MTH,C0064833 | C3537287 | C0021368 | C0029877 | C0221382,yes,Leukocyte Elastase | Vesicle-Trafficking Protein SEC22b | Inflammation | Ear Inflammation | Bubo Inflammation,"leukocyte trafficking, inflammation",Leukocyte Trafficking Inflammation,Leukocyte Trafficking Inflammation
Kamala Devi Patel,https://profiles.ucalgary.ca/kamala-devi-patel,inflammation,inflammation,Inflammation | Ear Inflammation | Bubo Inflammation | Gummatous inflammation | Eosinophilic inflammation,inflammation,MTH | SNOMEDCT_US,C0021368 | C0029877 | C0221382 | C0333422 | C3687252,yes,Inflammation | Ear Inflammation | Bubo Inflammation | Gummatous inflammation | Eosinophilic inflammation,Inflammation,Inflammation,Inflammation
Kara Murias,https://profiles.ucalgary.ca/kara-murias,cognitive development,cognitive development,Cognitive Development,cognitive development,MTH,C0679035,yes,Cognitive Development,Cognitive Development,Cognitive Development,Cognitive Development
Kara Murias,https://profiles.ucalgary.ca/kara-murias,neurodevelopmental disorders,neurodevelopmental disorders,Neurodevelopmental Disorders | Fetal neurodevelopmental disorder,neurodevelopmental disorders,MTH | SNOMEDCT_US,C1535926 | C1285381,yes,Neurodevelopmental Disorders | Fetal neurodevelopmental disorder,Neurodevelopmental Disorders,Neurodevelopmental Disorders,Neurodevelopmental Disorders
Kara Murias,https://profiles.ucalgary.ca/kara-murias,neuroimaging,neuroimaging,Neuroimaging | Functional Neuroimaging,neuroimaging,MTH | MSH,C0679575 | C3178877,yes,Neuroimaging | Functional Neuroimaging,Neuroimaging,Neuroimaging,Neuroimaging
Kara Murias,https://profiles.ucalgary.ca/kara-murias,clinical outcomes,clinical outcomes,Clinical Trials | Nutrition outcomes | Expected outcomes | R-Outcomes | Elimination outcomes,clinical outcomes,MTH,C0008976 | C0518896 | C2963499 | C5445044 | C0518891,yes,Clinical Trials | Nutrition outcomes | Expected outcomes | R-Outcomes | Elimination outcomes,clinical outcomes,Clinical Outcomes,Clinical Outcomes
